WigleWifi-1.4,appRelease=2.26,model=SM-G930F,release=6.0.1,device=herolte,display=MMB29K.G930FXXU1APF2,board=universal8890,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
78:00:9e:88:88:76,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-12-17 18:36:53,1,-48,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
14:ae:db:b1:db:a5,Hai_dayan,[WPA2-PSK-CCMP][ESS],2017-12-17 18:36:53,6,-81,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
14:ae:db:3d:bb:92,Bezeq_WiFi_2.4,[ESS],2017-12-17 18:36:53,10,-93,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
00:10:f3:61:6b:99,dahari,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-17 18:36:53,1,-91,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
e8:d1:1b:72:4c:80,RISSO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],2017-12-17 18:36:53,11,-89,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
08:97:58:33:7e:bc,wifi in car-0019,[WPA-PSK-CCMP][WPS][ESS],2017-12-17 18:36:53,2,-92,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
14:ae:db:4e:3f:fd,Eli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-17 18:36:53,1,-93,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
6c:19:8f:47:7f:40,Bezeq-N_477f3f,[ESS],2017-12-17 18:36:53,6,-93,32.1094978919121,34.8179803708305,4.86839804813528,16,WIFI
42503_6601_3035217,Pmobile,UNKNOWN;il,2017-12-17 18:36:53,0,-103,32.1094978919121,34.8179803708305,4.86839804813528,16,GSM
ca:95:a9:53:4a:9d,portthru,[IBSS],2017-12-17 18:36:57,10,-92,32.1095513753566,34.8180642189174,-12.7167551890181,6,WIFI
06:ae:db:52:35:e5,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-12-17 18:37:05,9,-92,32.1095857304047,34.8180502850821,-6.39367419535676,4,WIFI
14:ae:db:52:35:e5,michalgli,[WPA2-PSK-CCMP][ESS],2017-12-17 18:37:05,9,-92,32.1095857304047,34.8180502850821,-6.39367419535676,4,WIFI
c4:04:15:25:a2:6c,KOBY,[WPA2-PSK-CCMP][WPS][ESS],2017-12-17 18:37:05,11,-92,32.1095857304047,34.8180502850821,-6.39367419535676,4,WIFI
42503_6601_3035220,Pmobile,HSUPA;il,2017-12-17 18:37:11,0,-103,32.1095547996384,34.8180359571344,7.17621052591445,4,GSM
78:00:9e:88:88:76,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-12-17 18:37:57,1,-40,32.1095337382674,34.8180382993652,41.3851123957585,3,WIFI
42503_6601_3035222,Pmobile,HSUPA;il,2017-12-17 18:38:07,0,-103,32.1094949503362,34.8180841973515,23.2954957822546,6,GSM
78:00:9e:88:88:76,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-12-17 18:38:51,1,-35,32.1095262754045,34.8180574105024,39.7141128016367,6,WIFI
78:00:9e:88:88:76,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-12-17 18:39:10,1,-29,32.1095262754045,34.8180574105024,39.7695205167946,8,WIFI
14:ae:db:3d:bb:92,Bezeq_WiFi_2.4,[ESS],2017-12-17 18:39:10,10,-86,32.1095262754045,34.8180574105024,39.7695205167946,8,WIFI
78:00:9e:88:88:76,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-12-17 19:54:33,1,-43,32.10934460846,34.8184215088322,28.9489211260948,6,WIFI
14:ae:db:46:cd:3d,AMIR,[WPA2-PSK-CCMP][ESS],2017-12-17 19:54:33,11,-84,32.10934460846,34.8184215088322,28.9489211260948,6,WIFI
14:ae:db:4e:3f:fd,Eli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-17 19:54:33,1,-81,32.10934460846,34.8184215088322,28.9489211260948,6,WIFI
3c:1e:04:08:63:6d,yakov1,[WPA2-PSK-CCMP][ESS][BLE],2017-12-17 19:54:33,6,-82,32.10934460846,34.8184215088322,28.9489211260948,6,WIFI
06:ae:db:3b:bb:e5,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-12-17 19:54:33,1,-90,32.10934460846,34.8184215088322,28.9489211260948,6,WIFI
00:10:f3:61:6b:99,dahari,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-17 19:54:33,1,-90,32.10934460846,34.8184215088322,28.9489211260948,6,WIFI
